loc,stand,pitch_type,pitches,total_pitches,pitch_prob,hits,onbase,hrs,strikeouts,bbs,pitch_probability,BA,OBP,HR Rate,K Rate,BB Rate,Type
Road,R,CH | CU,27,197,0.13705583756345177,3,3,0,1,0,13.71,11.11,11.11,0,3.7,0,conditionals
Road,R,CH | FC,27,427,0.06323185011709602,2,6,0,2,4,6.32,7.41,22.22,0,7.41,14.81,conditionals
Road,R,CH | FF,19,302,0.06291390728476821,0,1,0,1,1,6.29,0,5.26,0,5.26,5.26,conditionals
Road,R,CH | SI,11,67,0.16417910447761194,1,1,0,0,0,16.42,9.09,9.09,0,0,0,conditionals
Road,R,CU | CH,8,114,0.07017543859649122,0,0,0,2,0,7.02,0,0,0,25,0,conditionals
Road,R,CU | CU,31,197,0.15736040609137056,2,2,0,3,0,15.74,6.45,6.45,0,9.68,0,conditionals
Road,R,CU | FC,62,427,0.1451990632318501,2,3,0,8,1,14.52,3.23,4.84,0,12.9,1.61,conditionals
Road,R,CU | FF,22,302,0.0728476821192053,3,3,0,2,0,7.28,13.64,13.64,0,9.09,0,conditionals
Road,R,CU | SI,3,67,0.04477611940298507,0,0,0,0,0,4.48,0,0,0,0,0,conditionals
Road,R,FC | CH,36,114,0.3157894736842105,1,3,0,2,2,31.58,2.78,8.33,0,5.56,5.56,conditionals
Road,R,FC | CU,64,197,0.3248730964467005,4,7,0,1,3,32.49,6.25,10.94,0,1.56,4.69,conditionals
Road,R,FC | FC,145,427,0.3395784543325527,11,15,0,9,4,33.96,7.59,10.34,0,6.21,2.76,conditionals
Road,R,FC | FF,100,302,0.33112582781456956,8,10,3,8,2,33.11,8,10,3,8,2,conditionals
Road,R,FC | SI,11,67,0.16417910447761194,1,1,0,1,0,16.42,9.09,9.09,0,9.09,0,conditionals
Road,R,FF | CH,24,114,0.21052631578947367,0,1,0,2,1,21.05,0,4.17,0,8.33,4.17,conditionals
Road,R,FF | CU,32,197,0.16243654822335024,1,1,0,5,0,16.24,3.12,3.12,0,15.62,0,conditionals
Road,R,FF | FC,65,427,0.1522248243559719,6,8,4,8,2,15.22,9.23,12.31,6.15,12.31,3.08,conditionals
Road,R,FF | FF,75,302,0.24834437086092714,5,10,0,3,5,24.83,6.67,13.33,0,4,6.67,conditionals
Road,R,FF | SI,12,67,0.1791044776119403,1,1,0,0,0,17.91,8.33,8.33,0,0,0,conditionals
Road,R,SI | CU,4,197,0.02030456852791878,0,0,0,0,0,2.03,0,0,0,0,0,conditionals
Road,R,SI | FC,14,427,0.03278688524590164,2,2,1,1,0,3.28,14.29,14.29,7.14,7.14,0,conditionals
Road,R,SI | FF,8,302,0.026490066225165563,2,2,0,0,0,2.65,25,25,0,0,0,conditionals
Road,R,SI | SI,13,67,0.19402985074626866,1,2,1,0,1,19.4,7.69,15.38,7.69,0,7.69,conditionals
